Num Training Releases,% Training,% Defective In Training,% Defective In Testing,Classifier,Balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,ROC Area,Kappa
33,0.9912216173802167,0.034533940233524636,0.0223463687150838,RandomForest,None,None,0,0,175,4,NaN,0.0,0.43642857142857144,0.0
34,0.9971636754853538,0.03442695306752979,0.3103448275862069,RandomForest,None,None,0,0,40,18,NaN,0.0,0.4583333333333333,0.0
1,0.9334905660377358,0.0025265285497726125,0.0425531914893617,Naive Bayes Classifier,None,None,1,1,134,5,0.5,0.16666666666666666,0.7925925925925926,0.2336956521739141
2,0.9485458612975392,0.005188679245283019,0.10434782608695652,Naive Bayes Classifier,None,None,1,1,102,11,0.5,0.08333333333333333,0.7564724919093851,0.11651728553137027
3,0.9933333333333333,0.01029082774049217,0.13333333333333333,Naive Bayes Classifier,None,None,0,2,11,2,0.0,0.0,0.6153846153846154,-0.15384615384615385
4,0.843328335832084,0.011111111111111112,0.028708133971291867,Naive Bayes Classifier,None,None,2,3,403,10,0.4,0.16666666666666666,0.604679802955665,0.22215860292012696
5,0.7500702839471465,0.013868065967016492,0.06974128233970754,Naive Bayes Classifier,None,None,2,3,824,60,0.4,0.03225806451612903,0.5269044740024184,0.049810834195748006
6,0.86188514659559,0.02783244307000281,0.08070175438596491,Naive Bayes Classifier,None,None,46,506,18,0,0.08333333333333333,1.0,0.6895743445071357,0.005708848715509045
7,0.9411630558722919,0.03513448025199903,0.14728682170542637,Naive Bayes Classifier,None,None,38,205,15,0,0.15637860082304528,1.0,0.5511363636363636,0.021099389228206564
8,0.9216057166876839,0.04173318129988598,0.04825737265415549,Naive Bayes Classifier,None,None,7,164,191,11,0.04093567251461988,0.3888888888888889,0.4702660406885759,-0.014516404780777262
9,0.9806265457543281,0.04224464060529634,0.010638297872340425,Naive Bayes Classifier,None,None,1,93,0,0,0.010638297872340425,1.0,0.946236559139785,0.0
10,0.9849776695087292,0.0416323165704864,0.04054054054054054,Naive Bayes Classifier,None,None,3,71,0,0,0.04054054054054054,1.0,0.9483568075117371,0.0
11,0.9696850393700788,0.0416159155501421,0.01948051948051948,Naive Bayes Classifier,None,None,3,148,3,0,0.019867549668874173,1.0,0.9580573951434879,7.89127575624722E-4
12,0.9881346041626142,0.04094488188976378,0.01639344262295082,Naive Bayes Classifier,None,None,1,56,4,0,0.017543859649122806,1.0,0.9666666666666667,0.0023364485981308292
13,0.9152572547623287,0.04065356934448551,0.06932773109243698,Naive Bayes Classifier,None,None,32,415,28,1,0.07158836689038031,0.9696969696969697,0.7228606607839113,0.004834705344309414
