Release Index,File,LOC,LOC Thouched,LOC Added,MAX LOC Added,AVERAGE LOC Added,Num Revisions,Num Authors,Churn,MAX Churn,AVERAGE Churn,ChgSet Size,MAX ChgSetSize,AVERAGE ChgSetSize,Buggy,Num Bugs
2,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerBean.java,59,154,77,77,77.0,1,1,77,77,77.0,17,17,17.0,Yes,1
2,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,218,26,12,12,12.0,1,1,11,11,11.0,6,6,6.0,Yes,3
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java,339,842,400,227,100.0,4,3,379,211,94.75,55,26,13.75,Yes,1
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,76,8,2,2,2.0,1,1,0,0,0.0,26,26,26.0,No,0
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/jmx/BKMBeanRegistry.java,77,180,89,84,44.5,2,1,88,84,44.0,8,5,4.0,Yes,1
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,42,26,9,9,9.0,1,1,5,5,5.0,4,4,4.0,No,0
2,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerMXBean.java,49,126,63,63,63.0,1,1,63,63,63.0,17,17,17.0,No,0
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean.java,38,110,53,52,26.5,2,2,51,52,25.5,21,14,10.5,No,0
2,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java,186,478,227,177,75.66666666666667,3,1,215,177,71.66666666666667,21,10,7.0,No,0
2,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,135,38,9,9,9.0,1,1,-1,0,-1.0,27,27,27.0,Yes,1
2,hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigRegion.java,234,344,172,172,172.0,1,1,172,172,172.0,6,6,6.0,Yes,1
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/JournalChannel.java,126,328,161,157,53.666666666666664,3,1,158,157,52.666666666666664,26,12,8.666666666666666,Yes,1
