Num Training Releases,% Training,% Defective In Training,% Defective In Testing,Classifier,Balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,ROC Area,Kappa
3,0.270042194092827,0.015625,0.09248554913294797,IBk,None,Yes,0,0,157,16,NaN,0.0,0.49363057324840764,0.0
4,0.915057915057915,0.07172995780590717,0.13636363636363635,IBk,None,Yes,0,2,17,3,0.0,0.0,0.631578947368421,-0.12244897959183688
5,0.9847908745247148,0.07722007722007722,0.25,IBk,None,Yes,0,0,3,1,NaN,0.0,0.5,0.0
6,0.8945578231292517,0.07984790874524715,0.03225806451612903,IBk,None,Yes,0,1,29,1,0.0,0.0,0.5,-0.03333333333333482
9,0.84251968503937,0.06853582554517133,0.016666666666666666,IBk,None,Yes,1,6,53,0,0.14285714285714285,1.0,0.9491525423728814,0.22746781115879863
10,0.8485523385300668,0.06036745406824147,0.16176470588235295,IBk,None,Yes,2,1,56,9,0.6666666666666666,0.18181818181818182,0.5893141945773525,0.2325056433408575
11,0.8944223107569721,0.0757238307349666,0.03773584905660377,IBk,None,Yes,1,4,47,1,0.2,0.5,0.7254901960784313,0.24501424501424512
12,0.8730434782608696,0.07171314741035857,0.0136986301369863,IBk,None,Yes,0,4,68,1,0.0,0.0,0.5277777777777778,-0.02240896358543534
13,0.8730434782608696,0.07171314741035857,0.0136986301369863,IBk,None,Yes,0,4,68,1,0.0,0.0,0.5277777777777778,-0.02240896358543534
14,0.8730434782608696,0.07171314741035857,0.0136986301369863,IBk,None,Yes,0,4,68,1,0.0,0.0,0.5277777777777778,-0.02240896358543534
15,0.9214743589743589,0.06434782608695652,0.10204081632653061,IBk,None,Yes,0,3,41,5,0.0,0.0,0.49772727272727274,-0.08287292817679544
16,0.9214743589743589,0.06434782608695652,0.10204081632653061,IBk,None,Yes,0,3,41,5,0.0,0.0,0.49772727272727274,-0.08287292817679544
18,0.8987161198288159,0.06666666666666667,0.09859154929577464,IBk,None,Yes,0,1,63,7,0.0,0.0,0.4486607142857143,-0.025270758122743278
19,0.9901129943502824,0.06990014265335236,0.5714285714285714,IBk,None,Yes,2,0,3,2,1.0,0.5,0.875,0.4615384615384616
20,0.9779005524861878,0.0748587570621469,0.1875,IBk,None,Yes,1,2,11,2,0.3333333333333333,0.3333333333333333,0.5897435897435898,0.1794871794871795
