Class,Buggy In Version
daffodil-test/src/test/resources/org/apache/daffodil/section23/dfdl_functions/Functions.tdml,17
daffodil-test/src/test/resources/org/apache/daffodil/section23/dfdl_functions/Functions.tdml,18
daffodil-test/src/test/resources/org/apache/daffodil/section23/dfdl_functions/Functions.tdml,19
daffodil-test/src/test/resources/org/apache/daffodil/section23/dfdl_functions/Functions.tdml,20
daffodil-test/src/test/resources/org/apache/daffodil/section23/dfdl_functions/Functions.tdml,21
daffodil-test/src/test/resources/org/apache/daffodil/section23/dfdl_functions/Functions.tdml,22
daffodil-test/src/test/resources/org/apache/daffodil/section23/dfdl_functions/Functions.tdml,23
daffodil-test/src/test/scala/org/apache/daffodil/section14/unordered_sequences/TestUnorderedSequencesNew.scala,15
daffodil-test/src/test/scala/org/apache/daffodil/section14/unordered_sequences/TestUnorderedSequencesNew.scala,16
daffodil-test/src/test/scala/org/apache/daffodil/section14/unordered_sequences/TestUnorderedSequencesNew.scala,17
daffodil-test/src/test/scala/org/apache/daffodil/section14/unordered_sequences/TestUnorderedSequencesNew.scala,18
daffodil-test/src/test/scala/org/apache/daffodil/section14/unordered_sequences/TestUnorderedSequencesNew.scala,19
daffodil-test/src/test/scala/org/apache/daffodil/section14/unordered_sequences/TestUnorderedSequencesNew.scala,20
daffodil-test/src/test/scala/org/apache/daffodil/section14/unordered_sequences/TestUnorderedSequencesNew.scala,21
daffodil-test/src/test/scala/org/apache/daffodil/section14/unordered_sequences/TestUnorderedSequencesNew.scala,22
daffodil-test/src/test/scala/org/apache/daffodil/section14/unordered_sequences/TestUnorderedSequencesNew.scala,23
daffodil-test/src/test/scala/org/apache/daffodil/section23/dfdl_expressions/TestDFDLExpressions.scala,15
daffodil-test/src/test/scala/org/apache/daffodil/section23/dfdl_expressions/TestDFDLExpressions.scala,16
daffodil-test/src/test/scala/org/apache/daffodil/section23/dfdl_expressions/TestDFDLExpressions.scala,17
daffodil-test/src/test/scala/org/apache/daffodil/section23/dfdl_expressions/TestDFDLExpressions.scala,18
daffodil-test/src/test/scala/org/apache/daffodil/section23/dfdl_expressions/TestDFDLExpressions.scala,19
daffodil-test/src/test/scala/org/apache/daffodil/section23/dfdl_expressions/TestDFDLExpressions.scala,20
daffodil-test/src/test/scala/org/apache/daffodil/section23/dfdl_expressions/TestDFDLExpressions.scala,21
daffodil-test/src/test/scala/org/apache/daffodil/section23/dfdl_expressions/TestDFDLExpressions.scala,22
daffodil-test/src/test/scala/org/apache/daffodil/section23/dfdl_expressions/TestDFDLExpressions.scala,23
daffodil-core/src/main/scala/edu/illinois/ncsa/daffodil/processors/PrimitivesDateTime.scala,15
daffodil-core/src/main/scala/edu/illinois/ncsa/daffodil/processors/PrimitivesDateTime.scala,16
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/dpath/ComparisonOps.scala,15
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/dpath/ComparisonOps.scala,16
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/dpath/Conversions.scala,15
