@RELATION finalTableAVRO

@ATTRIBUTE releaseindex REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE locthouched REAL
@ATTRIBUTE locadded REAL
@ATTRIBUTE maxlocadded REAL
@ATTRIBUTE averagelocadded REAL
@ATTRIBUTE numrevisions REAL
@ATTRIBUTE numauthors REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE averagechurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE averagechgsetsize REAL
@ATTRIBUTE buggy {No,Yes}

@DATA
4,235,48,14,6,4.666666666666667,3,1,4,5,1.3333333333333333,35,16,11.666666666666666,No
4,174,538,233,123,58.25,4,1,197,119,49.25,204,133,51.0,No
4,236,16,4,4,2.0,2,1,0,0,0.0,150,129,75.0,No
4,94,280,100,69,20.0,5,1,60,47,12.0,217,133,43.4,No
4,627,894,355,120,35.5,10,1,263,120,26.3,104,21,10.4,No
4,872,0,0,0,0.0,1,1,0,0,0.0,129,129,129.0,No
4,691,0,0,0,0.0,1,1,0,0,0.0,129,129,129.0,No
4,234,600,0,0,0.0,2,2,-300,0,-150.0,493,300,246.5,No
4,150,360,0,0,0.0,2,2,-180,0,-90.0,493,300,246.5,No
4,585,10954,3163,950,210.86666666666667,15,1,849,533,56.6,371,193,24.733333333333334,Yes
4,29,78,39,39,39.0,1,1,39,39,39.0,14,14,14.0,No
4,99,332,146,113,36.5,4,1,126,113,31.5,204,133,51.0,No
4,208,596,298,298,298.0,1,1,298,298,298.0,193,193,193.0,No
4,147,44,18,18,9.0,2,1,14,14,7.0,150,129,75.0,No
4,442,1432,536,454,89.33333333333333,6,1,356,305,59.333333333333336,66,14,11.0,No
4,21,62,31,31,31.0,1,1,31,31,31.0,193,193,193.0,No
4,127,318,159,159,159.0,1,1,159,159,159.0,193,193,193.0,No
4,236,0,0,0,0.0,1,1,0,0,0.0,300,300,300.0,No
4,94,308,136,105,27.2,5,1,118,105,23.6,217,133,43.4,No
4,54,196,85,53,21.25,4,1,72,53,18.0,204,133,51.0,No
4,627,1736,868,868,868.0,1,1,868,868,868.0,13,13,13.0,No
4,667,1770,885,885,885.0,1,1,885,885,885.0,193,193,193.0,No
4,209,526,0,0,0.0,2,2,-263,0,-131.5,493,300,246.5,No
4,236,624,0,0,0.0,2,2,-312,0,-156.0,493,300,246.5,No
4,35,96,0,0,0.0,2,2,-48,0,-24.0,493,300,246.5,No
4,132,64,26,25,13.0,2,1,20,20,10.0,150,129,75.0,No
4,60,402,60,60,20.0,3,2,-81,0,-27.0,333,300,111.0,No
4,29,0,0,0,0.0,1,1,0,0,0.0,300,300,300.0,No
4,67,204,0,0,0.0,1,1,-102,0,-102.0,133,133,133.0,No
4,278,800,400,400,400.0,1,1,400,400,400.0,193,193,193.0,No
4,61,160,0,0,0.0,1,1,-80,0,-80.0,133,133,133.0,No
4,66,4,1,1,0.5,2,2,0,0,0.0,307,300,153.5,No
4,92,254,127,127,127.0,1,1,127,127,127.0,193,193,193.0,No
4,872,2082,0,0,0.0,2,2,-1041,0,-520.5,493,300,246.5,No
4,66,68,17,17,17.0,1,1,0,0,0.0,21,21,21.0,No
4,53,34,13,7,6.5,2,1,9,6,4.5,26,16,13.0,No
4,156,1236,404,196,80.8,5,1,190,196,38.0,256,193,51.2,Yes
4,45,196,42,42,21.0,2,1,-14,0,-7.0,215,193,107.5,No
4,101,260,0,0,0.0,2,2,-130,0,-65.0,493,300,246.5,No
4,254,1578,577,267,57.7,10,1,365,267,36.5,290,193,29.0,Yes
4,83,8,2,2,2.0,1,1,0,0,0.0,129,129,129.0,No
4,159,696,273,164,45.5,6,1,198,164,33.0,63,19,10.5,Yes
4,80,216,102,79,34.0,3,1,96,79,32.0,39,14,13.0,Yes
4,101,274,0,0,0.0,2,2,-137,0,-68.5,493,300,246.5,No
4,49,0,0,0,0.0,1,1,0,0,0.0,129,129,129.0,No
4,134,458,204,140,22.666666666666668,9,1,179,140,19.88888888888889,102,14,11.333333333333334,Yes
4,99,252,0,0,0.0,2,2,-126,0,-63.0,493,300,246.5,No
4,872,2082,1041,1041,1041.0,1,1,1041,1041,1041.0,3,3,3.0,No
4,966,6238,2159,907,215.9,10,1,1199,907,119.9,323,193,32.3,Yes
4,125,374,120,86,30.0,4,1,53,40,13.25,204,133,51.0,No
4,241,586,0,0,0.0,2,2,-293,0,-146.5,493,300,246.5,No
4,216,128,56,56,28.0,2,1,48,48,24.0,150,129,75.0,No
4,152,94,39,39,19.5,2,1,31,31,15.5,150,129,75.0,No
4,27,4,1,1,1.0,1,1,0,0,0.0,21,21,21.0,No
4,182,1344,451,248,225.5,2,1,230,248,115.0,215,193,107.5,No
4,234,176,82,82,82.0,1,1,76,76,76.0,6,6,6.0,No
4,369,1386,567,409,47.25,12,1,441,409,36.75,143,19,11.916666666666666,Yes
4,691,1684,0,0,0.0,2,2,-842,0,-421.0,493,300,246.5,No
4,101,0,0,0,0.0,1,1,0,0,0.0,129,129,129.0,No
4,58,158,76,73,25.333333333333332,3,1,73,73,24.333333333333332,46,21,15.333333333333334,No
4,129,44,17,16,8.5,2,1,12,12,6.0,150,129,75.0,No
4,241,48,12,10,6.0,2,1,0,0,0.0,159,133,79.5,No
4,59,152,0,0,0.0,1,1,-76,0,-76.0,133,133,133.0,No
4,111,612,166,99,27.666666666666668,6,2,26,30,4.333333333333333,552,300,92.0,Yes
4,84,222,0,0,0.0,2,2,-111,0,-55.5,493,300,246.5,No
4,228,1436,503,255,62.875,8,1,288,255,36.0,87,14,10.875,Yes
4,209,116,48,48,24.0,2,1,38,38,19.0,150,129,75.0,No
4,83,210,104,103,52.0,2,1,103,103,51.5,153,133,76.5,No
4,73,10,4,4,4.0,1,1,3,3,3.0,6,6,6.0,No
4,220,678,339,339,339.0,1,1,339,339,339.0,193,193,193.0,No
4,54,4,1,1,0.5,2,1,0,0,0.0,150,129,75.0,No
4,235,4,1,1,0.5,2,2,0,0,0.0,306,300,153.0,No
4,69,208,0,0,0.0,1,1,-104,0,-104.0,133,133,133.0,No
4,23,66,33,33,33.0,1,1,33,33,33.0,193,193,193.0,No
4,134,0,0,0,0.0,1,1,0,0,0.0,300,300,300.0,No
4,99,308,70,70,70.0,1,1,-14,0,-14.0,133,133,133.0,No
4,6,18,9,9,9.0,1,1,9,9,9.0,12,12,12.0,Yes
4,53,0,0,0,0.0,1,1,0,0,0.0,300,300,300.0,No
4,56,0,0,0,0.0,1,1,0,0,0.0,300,300,300.0,No
4,66,202,0,0,0.0,1,1,-101,0,-101.0,133,133,133.0,No
4,94,236,0,0,0.0,2,2,-118,0,-59.0,493,300,246.5,No
4,126,342,171,171,171.0,1,1,171,171,171.0,193,193,193.0,No
4,241,0,0,0,0.0,1,1,0,0,0.0,129,129,129.0,No
4,91,0,0,0,0.0,1,1,0,0,0.0,129,129,129.0,No
4,344,126,58,58,58.0,1,1,53,53,53.0,26,26,26.0,No
4,81,92,31,18,10.333333333333334,3,1,16,11,5.333333333333333,36,16,12.0,No
4,177,430,0,0,0.0,2,2,-215,0,-107.5,493,300,246.5,No
4,451,44,16,16,8.0,2,2,10,10,5.0,326,300,163.0,No
4,92,260,0,0,0.0,2,2,-130,0,-65.0,493,300,246.5,No
4,99,250,0,0,0.0,2,2,-125,0,-62.5,493,300,246.5,No
4,35,744,174,167,58.0,3,1,-24,141,-8.0,159,133,53.0,No
4,56,4,1,1,1.0,1,1,0,0,0.0,6,6,6.0,No
4,101,6,1,1,1.0,1,1,-1,0,-1.0,129,129,129.0,No
4,64,170,0,0,0.0,1,1,-85,0,-85.0,133,133,133.0,No
4,94,236,0,0,0.0,2,2,-118,0,-59.0,493,300,246.5,No
4,58,0,0,0,0.0,1,1,0,0,0.0,300,300,300.0,No
4,54,144,0,0,0.0,2,2,-72,0,-36.0,493,300,246.5,No
4,31,0,0,0,0.0,1,1,0,0,0.0,300,300,300.0,No
4,31,0,0,0,0.0,1,1,0,0,0.0,300,300,300.0,No
4,119,292,0,0,0.0,2,2,-146,0,-73.0,493,300,246.5,No
4,49,0,0,0,0.0,1,1,0,0,0.0,300,300,300.0,No
4,344,4,1,1,1.0,1,1,0,0,0.0,129,129,129.0,No
4,114,368,162,128,40.5,4,1,140,128,35.0,204,133,51.0,No
4,164,474,217,198,108.5,2,1,197,198,98.5,158,133,79.0,No
4,119,364,164,133,41.0,4,1,146,133,36.5,204,133,51.0,No
4,150,8,4,4,4.0,1,1,4,4,4.0,129,129,129.0,No
4,125,4,1,1,0.5,2,1,0,0,0.0,150,129,75.0,No
4,94,4,1,1,0.5,2,1,0,0,0.0,150,129,75.0,No
4,63,184,0,0,0.0,1,1,-92,0,-92.0,133,133,133.0,No
4,255,2984,686,193,45.733333333333334,15,2,-120,56,-8.0,649,300,43.266666666666666,Yes
4,101,322,149,104,74.5,2,1,137,104,68.5,158,133,79.0,No
4,216,530,0,0,0.0,2,2,-265,0,-132.5,493,300,246.5,No
4,310,826,413,413,413.0,1,1,413,413,413.0,13,13,13.0,No
4,177,44,20,19,10.0,2,2,18,19,9.0,135,129,67.5,No
4,64,274,109,75,36.333333333333336,3,1,81,75,27.0,184,133,61.333333333333336,No
4,132,320,0,0,0.0,2,2,-160,0,-80.0,493,300,246.5,No
4,631,0,0,0,0.0,1,1,0,0,0.0,300,300,300.0,No
4,299,0,0,0,0.0,1,1,0,0,0.0,6,6,6.0,No
4,64,0,0,0,0.0,1,1,0,0,0.0,129,129,129.0,No
4,265,1774,619,363,206.33333333333334,3,1,351,363,117.0,224,193,74.66666666666667,Yes
4,31,88,44,44,44.0,1,1,44,44,44.0,193,193,193.0,No
4,147,416,192,176,64.0,3,1,176,176,58.666666666666664,171,133,57.0,No
4,126,412,185,88,46.25,4,1,164,88,41.0,204,133,51.0,No
4,267,734,366,365,183.0,2,1,365,365,182.5,26,14,13.0,Yes
4,81,0,0,0,0.0,1,1,0,0,0.0,300,300,300.0,No
4,4238,0,0,0,0.0,2,2,0,0,0.0,493,300,246.5,No
4,56,44,11,11,11.0,1,1,0,0,0.0,21,21,21.0,No
4,421,2878,1005,616,502.5,2,1,571,616,285.5,215,193,107.5,Yes
4,627,6,1,1,0.5,2,2,-1,0,-0.5,326,300,163.0,No
4,147,364,0,0,0.0,2,2,-182,0,-91.0,493,300,246.5,No
4,84,222,111,111,111.0,1,1,111,111,111.0,21,21,21.0,No
4,158,710,272,186,54.4,5,1,189,186,37.8,64,14,12.8,Yes
4,125,300,0,0,0.0,2,2,-150,0,-75.0,493,300,246.5,No
4,174,1440,472,197,94.4,5,1,224,197,44.8,225,133,45.0,No
4,4238,0,0,0,0.0,1,1,0,0,0.0,129,129,129.0,No
4,172,614,262,120,65.5,4,1,217,115,54.25,204,133,51.0,No
4,102,366,157,93,39.25,4,1,131,93,32.75,197,133,49.25,No
4,17,48,0,0,0.0,2,2,-24,0,-12.0,493,300,246.5,No
4,73,0,0,0,0.0,1,1,0,0,0.0,300,300,300.0,No
4,152,390,0,0,0.0,2,2,-195,0,-97.5,493,300,246.5,No
5,592,30,13,11,6.5,2,1,11,10,5.5,36,22,18.0,No
