Class,Buggy In Version
lang/c++/impl/avrogencpp.cc,11
lang/c++/test/AvrogencppTests.cc,11
lang/c/examples/quickstop.c,11
lang/c/src/datafile.c,11
lang/c++/test/buffertest.cc,6
lang/c++/test/buffertest.cc,7
lang/c/src/datafile.c,6
lang/c/src/schema.c,6
lang/c/src/datum.c,6
lang/c/src/encoding_binary.c,4
lang/c/examples/quickstop.c,4
lang/c/src/datafile.c,4
lang/c/src/datum.c,4
lang/c/src/datum_equal.c,4
lang/c/src/datum_read.c,4
lang/c/src/datum_size.c,4
lang/c/src/datum_validate.c,4
lang/c/src/datum_write.c,4
lang/c/src/encoding_binary.c,4
lang/c/src/io.c,4
lang/c/src/schema.c,4
lang/c/src/schema_equal.c,4
lang/c/src/st.c,4
lang/c/tests/generate_interop_data.c,4
lang/c/tests/test_avro_data.c,4
lang/c/tests/test_avro_schema.c,4
lang/c/tests/test_interop_data.c,4
lang/c/src/datafile.c,2
lang/c/src/datafile.c,3
lang/c/src/datafile.c,4
lang/c/src/datafile.c,5
lang/c/src/io.c,2
lang/c/src/io.c,3
lang/c/src/io.c,4
lang/c/src/io.c,5
lang/c/src/schema.c,2
lang/c/src/schema.c,3
lang/c/src/schema.c,4
lang/c/src/schema.c,5
src/c++/impl/Zigzag.cc,1
src/c++/impl/Zigzag.cc,2
lang/c++/impl/ValidatingWriter.cc,1
lang/c++/impl/ValidatingWriter.cc,2
lang/c++/impl/ValidatingWriter.cc,3
