@RELATION finalTableFALCON

@ATTRIBUTE releaseindex REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE locthouched REAL
@ATTRIBUTE locadded REAL
@ATTRIBUTE maxlocadded REAL
@ATTRIBUTE averagelocadded REAL
@ATTRIBUTE numrevisions REAL
@ATTRIBUTE numauthors REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE averagechurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE averagechgsetsize REAL
@ATTRIBUTE buggy {No,Yes}

@DATA
2,123,378,115,51,28.75,4,1,41,40,10.25,222,164,55.5,No
2,43,106,53,53,53.0,1,1,53,53,53.0,49,49,49.0,No
2,125,324,2,2,1.0,2,1,-158,0,-79.0,198,164,99.0,No
2,214,782,271,170,90.33333333333333,3,1,151,151,50.333333333333336,212,164,70.66666666666667,Yes
2,131,4,1,1,1.0,1,1,0,0,0.0,49,49,49.0,No
2,60,10,2,2,2.0,1,1,-1,0,-1.0,164,164,164.0,No
2,285,140,59,43,19.666666666666668,3,2,48,43,16.0,233,164,77.66666666666667,Yes
2,156,14,5,5,5.0,1,1,3,3,3.0,164,164,164.0,No
2,314,432,148,95,37.0,4,2,80,83,20.0,214,164,53.5,Yes
2,181,44,13,12,4.333333333333333,3,2,4,7,1.3333333333333333,249,164,83.0,No
2,1213,1126,339,109,37.666666666666664,9,4,115,94,12.777777777777779,273,164,30.333333333333332,Yes
2,176,924,338,214,112.66666666666667,3,1,214,214,71.33333333333333,212,164,70.66666666666667,Yes
2,35,20,5,5,5.0,1,1,0,0,0.0,164,164,164.0,No
2,125,256,48,27,16.0,3,2,-32,0,-10.666666666666666,249,164,83.0,Yes
2,53,4,1,1,1.0,1,1,0,0,0.0,33,33,33.0,Yes
2,69,4,1,1,1.0,1,1,0,0,0.0,8,8,8.0,No
2,476,144,38,30,19.0,2,1,4,30,2.0,64,49,32.0,Yes
2,389,86,23,12,5.75,4,3,3,1,0.75,32,13,8.0,Yes
2,94,6,2,2,2.0,1,1,1,1,1.0,8,8,8.0,No
2,291,1478,545,351,181.66666666666666,3,1,351,351,117.0,212,164,70.66666666666667,Yes
2,22,54,27,27,27.0,1,1,27,27,27.0,17,17,17.0,No
2,176,246,98,62,32.666666666666664,3,2,73,59,24.333333333333332,249,164,83.0,No
2,23,62,31,31,31.0,1,1,31,31,31.0,7,7,7.0,No
2,681,1212,484,360,69.14285714285714,7,4,362,275,51.714285714285715,280,164,40.0,Yes
2,97,222,111,111,111.0,1,1,111,111,111.0,17,17,17.0,No
2,85,138,20,18,6.666666666666667,3,1,-29,2,-9.666666666666666,58,36,19.333333333333332,No
2,103,88,40,40,40.0,1,1,36,36,36.0,8,8,8.0,Yes
2,77,198,99,99,99.0,1,1,99,99,99.0,15,15,15.0,No
2,85,202,101,101,101.0,1,1,101,101,101.0,164,164,164.0,No
2,155,230,72,32,14.4,5,2,29,30,5.8,246,164,49.2,No
2,121,52,19,17,9.5,2,2,12,12,6.0,11,6,5.5,No
2,57,134,67,67,67.0,1,1,67,67,67.0,17,17,17.0,No
2,50,8,2,2,2.0,1,1,0,0,0.0,164,164,164.0,No
2,101,238,119,119,119.0,1,1,119,119,119.0,49,49,49.0,No
2,75,6,1,1,1.0,1,1,-1,0,-1.0,33,33,33.0,Yes
2,98,174,47,44,23.5,2,2,7,7,3.5,213,164,106.5,No
2,104,2,0,0,0.0,1,1,-1,0,-1.0,34,34,34.0,No
2,411,1022,425,299,38.63636363636363,11,3,339,276,30.818181818181817,351,164,31.90909090909091,No
2,166,716,280,202,56.0,5,1,202,202,40.4,234,164,46.8,No
2,94,378,148,107,29.6,5,1,107,107,21.4,234,164,46.8,No
2,143,324,1,1,0.5,2,2,-160,1,-80.0,85,49,42.5,No
2,591,282,90,43,15.0,6,3,39,42,6.5,210,164,35.0,Yes
2,70,464,158,84,52.666666666666664,3,1,84,84,28.0,212,164,70.66666666666667,No
2,89,208,104,104,104.0,1,1,104,104,104.0,3,3,3.0,No
2,43,104,52,52,52.0,1,1,52,52,52.0,17,17,17.0,No
2,255,468,191,86,31.833333333333332,6,2,148,72,24.666666666666668,285,164,47.5,Yes
2,40,106,53,53,53.0,1,1,53,53,53.0,17,17,17.0,No
2,156,374,187,187,187.0,1,1,187,187,187.0,164,164,164.0,No
2,152,364,182,182,182.0,1,1,182,182,182.0,164,164,164.0,No
2,569,158,61,21,10.166666666666666,6,2,43,17,7.166666666666667,93,49,15.5,Yes
2,78,200,100,100,100.0,1,1,100,100,100.0,49,49,49.0,No
2,347,56,25,24,12.5,2,1,22,22,11.0,198,164,99.0,No
2,201,88,20,15,10.0,2,2,-4,0,-2.0,167,164,83.5,No
2,54,134,67,67,67.0,1,1,67,67,67.0,17,17,17.0,No
2,51,32,12,12,12.0,1,1,8,8,8.0,164,164,164.0,No
2,366,198,88,47,22.0,4,3,77,41,19.25,202,164,50.5,No
2,239,50,19,15,9.5,2,1,13,11,6.5,198,164,99.0,No
2,613,932,276,70,39.42857142857143,7,3,86,31,12.285714285714286,137,49,19.571428571428573,Yes
