@RELATION finalTableSYNCOPE

@ATTRIBUTE releaseindex REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE locthouched REAL
@ATTRIBUTE locadded REAL
@ATTRIBUTE maxlocadded REAL
@ATTRIBUTE averagelocadded REAL
@ATTRIBUTE numrevisions REAL
@ATTRIBUTE numauthors REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE averagechurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE averagechgsetsize REAL
@ATTRIBUTE buggy {No,Yes}

@DATA
16,81,6,1,1,1.0,1,1,-1,0,-1.0,22,22,22.0,No
16,764,250,22,12,4.4,5,2,-81,2,-16.2,311,218,62.2,No
16,275,204,83,36,27.666666666666668,3,1,64,32,21.333333333333332,48,21,16.0,Yes
16,56,138,69,69,69.0,1,1,69,69,69.0,42,42,42.0,No
16,204,12,2,1,1.0,2,1,-2,0,-1.0,27,14,13.5,No
16,103,204,46,46,46.0,1,1,-10,0,-10.0,58,58,58.0,No
16,51,8,2,1,1.0,2,1,0,0,0.0,233,218,116.5,No
16,22,48,0,0,0.0,1,1,-24,0,-24.0,218,218,218.0,No
16,105,186,57,55,19.0,3,1,21,22,7.0,283,218,94.33333333333333,No
16,67,12,3,3,3.0,1,1,0,0,0.0,218,218,218.0,No
16,61,18,4,4,4.0,1,1,-1,0,-1.0,218,218,218.0,No
16,71,12,2,2,2.0,1,1,-2,0,-2.0,218,218,218.0,No
16,103,10,3,2,1.5,2,1,1,1,0.5,42,39,21.0,No
16,87,28,14,12,7.0,2,1,14,12,7.0,239,218,119.5,No
16,128,12,2,2,2.0,1,1,-2,0,-2.0,218,218,218.0,No
16,22,16,3,2,1.5,2,1,-2,0,-1.0,271,218,135.5,No
16,314,818,208,188,69.33333333333333,3,1,7,7,2.3333333333333335,262,218,87.33333333333333,No
16,586,730,220,193,110.0,2,1,75,81,37.5,242,218,121.0,No
16,55,44,7,4,2.3333333333333335,3,1,-8,0,-2.6666666666666665,261,218,87.0,No
16,19,46,23,23,23.0,1,1,23,23,23.0,53,53,53.0,No
16,17,4,2,2,2.0,1,1,2,2,2.0,40,40,40.0,No
16,224,686,173,83,24.714285714285715,7,1,3,3,0.42857142857142855,383,218,54.714285714285715,No
16,192,76,19,6,3.8,5,1,0,3,0.0,322,218,64.4,No
16,194,724,181,46,45.25,4,1,0,2,0.0,104,27,26.0,No
16,27,12,5,5,5.0,1,1,4,4,4.0,22,22,22.0,No
16,222,128,32,26,16.0,2,1,0,0,0.0,4,3,2.0,No
16,139,50,10,10,10.0,1,1,-5,0,-5.0,218,218,218.0,No
16,66,186,92,84,46.0,2,2,91,84,45.5,46,42,23.0,No
16,85,218,109,109,109.0,1,1,109,109,109.0,22,22,22.0,No
16,251,74,16,11,8.0,2,1,-5,0,-2.5,80,58,40.0,No
16,166,342,116,104,38.666666666666664,3,1,61,61,20.333333333333332,283,218,94.33333333333333,No
16,200,64,4,4,4.0,1,1,-24,0,-24.0,218,218,218.0,No
16,71,50,19,14,9.5,2,1,13,13,6.5,242,218,121.0,No
16,114,4,1,1,1.0,1,1,0,0,0.0,218,218,218.0,No
16,63,28,2,2,2.0,1,1,-10,0,-10.0,218,218,218.0,No
16,101,16,4,3,2.0,2,1,0,0,0.0,240,218,120.0,No
16,70,12,5,5,5.0,1,1,4,4,4.0,58,58,58.0,No
16,22,16,3,2,1.5,2,1,-2,0,-1.0,271,218,135.5,No
16,74,24,6,3,3.0,2,1,0,0,0.0,233,218,116.5,No
16,455,1192,302,62,25.166666666666668,12,1,8,6,0.6666666666666666,523,218,43.583333333333336,No
16,574,932,364,138,40.44444444444444,9,2,262,119,29.11111111111111,387,218,43.0,No
16,26,4,0,0,0.0,1,1,-2,0,-2.0,2,2,2.0,No
16,140,46,22,13,7.333333333333333,3,1,21,13,7.0,281,218,93.66666666666667,No
16,33,64,16,16,16.0,1,1,0,0,0.0,218,218,218.0,No
16,13,0,0,0,0.0,1,1,0,0,0.0,40,40,40.0,No
16,6,8,2,1,1.0,2,1,0,0,0.0,4,2,2.0,No
16,23,4,1,1,1.0,1,1,0,0,0.0,53,53,53.0,No
16,41,4,1,1,1.0,1,1,0,0,0.0,1,1,1.0,No
16,41,100,50,50,50.0,1,1,50,50,50.0,218,218,218.0,No
16,379,16,4,2,1.3333333333333333,3,2,0,0,0.0,230,218,76.66666666666667,No
16,27,8,2,1,1.0,2,1,0,0,0.0,72,39,36.0,No
16,58,8,2,2,2.0,1,1,0,0,0.0,218,218,218.0,No
16,88,56,17,13,5.666666666666667,3,1,6,5,2.0,309,218,103.0,No
16,38,104,0,0,0.0,1,1,-52,0,-52.0,22,22,22.0,No
16,55,4,1,1,1.0,1,1,0,0,0.0,218,218,218.0,No
16,111,174,51,27,12.75,4,2,15,18,3.75,349,218,87.25,No
16,125,18,0,0,0.0,2,1,-9,0,-4.5,25,15,12.5,No
16,247,16,5,2,1.6666666666666667,3,1,2,1,0.6666666666666666,290,218,96.66666666666667,No
16,472,392,118,57,14.75,8,2,40,50,5.0,354,218,44.25,No
16,83,64,32,16,16.0,2,1,32,16,16.0,72,39,36.0,No
16,314,616,159,54,17.666666666666668,9,1,10,3,1.1111111111111112,445,218,49.44444444444444,No
16,83,142,45,42,22.5,2,1,19,19,9.5,271,218,135.5,No
16,51,4,1,1,1.0,1,1,0,0,0.0,53,53,53.0,No
16,245,4,1,1,1.0,1,1,0,0,0.0,218,218,218.0,No
16,185,512,148,74,74.0,2,1,40,23,20.0,25,15,12.5,No
16,47,8,1,1,1.0,1,1,-2,0,-2.0,2,2,2.0,No
16,21,0,0,0,0.0,1,1,0,0,0.0,8,8,8.0,No
16,42,12,4,4,4.0,1,1,2,2,2.0,9,9,9.0,No
16,38,48,13,8,6.5,2,1,2,2,1.0,25,15,12.5,No
16,53,144,37,37,37.0,1,1,2,2,2.0,39,39,39.0,No
16,50,132,66,66,66.0,1,1,66,66,66.0,2,2,2.0,No
16,182,10,2,2,2.0,1,1,-1,0,-1.0,38,38,38.0,No
16,71,180,90,90,90.0,1,1,90,90,90.0,22,22,22.0,No
16,87,226,113,113,113.0,1,1,113,113,113.0,6,6,6.0,No
16,101,158,79,79,79.0,1,1,79,79,79.0,40,40,40.0,No
16,71,54,18,16,6.0,3,1,9,16,3.0,37,22,12.333333333333334,No
16,218,528,263,263,131.5,2,2,262,263,131.0,44,42,22.0,No
16,135,346,86,21,17.2,5,1,-1,2,-0.2,322,218,64.4,No
16,176,34,11,5,3.6666666666666665,3,1,5,2,1.6666666666666667,130,58,43.333333333333336,No
16,48,88,8,8,8.0,1,1,-28,0,-28.0,218,218,218.0,No
16,376,462,142,41,15.777777777777779,9,2,53,35,5.888888888888889,361,218,40.111111111111114,No
16,103,4,1,1,1.0,1,1,0,0,0.0,53,53,53.0,No
16,86,42,8,5,4.0,2,1,-5,0,-2.5,240,218,120.0,No
16,77,24,6,2,2.0,3,1,0,1,0.0,285,218,95.0,No
16,53,4,1,1,1.0,1,1,0,0,0.0,22,22,22.0,No
16,58,154,77,77,77.0,1,1,77,77,77.0,42,42,42.0,No
16,31,24,6,6,6.0,1,1,0,0,0.0,40,40,40.0,No
16,250,4,1,1,1.0,1,1,0,0,0.0,218,218,218.0,No
16,151,516,91,69,30.333333333333332,3,1,-76,12,-25.333333333333332,264,218,88.0,No
16,45,130,62,58,31.0,2,1,59,58,29.5,43,22,21.5,No
16,248,4,1,1,1.0,1,1,0,0,0.0,218,218,218.0,No
16,20,0,0,0,0.0,1,1,0,0,0.0,58,58,58.0,No
16,42,12,4,4,4.0,1,1,2,2,2.0,42,42,42.0,No
16,72,68,26,14,6.5,4,2,18,14,4.5,279,218,69.75,No
16,166,404,202,202,202.0,1,1,202,202,202.0,218,218,218.0,No
16,451,438,196,80,32.666666666666664,6,1,173,76,28.833333333333332,340,218,56.666666666666664,No
16,22,16,3,2,1.5,2,1,-2,0,-1.0,271,218,135.5,No
16,112,116,13,7,4.333333333333333,3,1,-32,0,-10.666666666666666,261,218,87.0,No
16,175,12,6,3,3.0,2,1,6,3,3.0,6,3,3.0,No
16,22,14,6,6,6.0,1,1,5,5,5.0,40,40,40.0,No
16,165,218,25,21,8.333333333333334,3,1,-59,0,-19.666666666666668,280,218,93.33333333333333,No
16,290,24,8,4,4.0,2,1,4,3,2.0,242,218,121.0,No
16,162,46,13,5,2.6,5,1,3,3,0.6,162,58,32.4,No
16,114,186,58,52,19.333333333333332,3,1,23,24,7.666666666666667,283,218,94.33333333333333,No
16,30,6,1,1,1.0,1,1,-1,0,-1.0,58,58,58.0,No
16,130,318,159,159,159.0,1,1,159,159,159.0,42,42,42.0,No
16,53,8,2,2,2.0,1,1,0,0,0.0,218,218,218.0,No
16,35,24,6,3,3.0,2,1,0,0,0.0,72,39,36.0,No
16,106,16,4,3,2.0,2,1,0,0,0.0,240,218,120.0,No
16,110,94,27,14,6.75,4,1,7,12,1.75,288,218,72.0,No
16,81,48,13,7,6.5,2,1,2,2,1.0,271,218,135.5,No
16,132,52,14,4,2.3333333333333335,6,1,2,1,0.3333333333333333,176,39,29.333333333333332,No
16,56,6,2,2,2.0,1,1,1,1,1.0,33,33,33.0,No
16,82,10,2,1,1.0,2,1,-1,0,-0.5,11,10,5.5,No
16,264,28,9,5,4.5,2,1,4,3,2.0,242,218,121.0,No
16,83,8,2,2,2.0,1,1,0,0,0.0,58,58,58.0,No
16,38,8,2,1,1.0,2,1,0,0,0.0,233,218,116.5,No
16,126,8,2,2,2.0,1,1,0,0,0.0,58,58,58.0,No
16,289,28,7,7,7.0,1,1,0,0,0.0,218,218,218.0,No
16,47,18,8,8,8.0,1,1,7,7,7.0,40,40,40.0,No
16,35,50,4,4,4.0,1,1,-17,0,-17.0,218,218,218.0,No
16,53,4,1,1,1.0,1,1,0,0,0.0,58,58,58.0,No
16,20,0,0,0,0.0,1,1,0,0,0.0,58,58,58.0,No
16,314,28,9,7,4.5,2,1,4,3,2.0,242,218,121.0,No
16,72,4,1,1,1.0,1,1,0,0,0.0,218,218,218.0,No
16,130,366,174,165,87.0,2,1,165,165,82.5,240,218,120.0,No
16,32,32,0,0,0.0,1,1,-16,0,-16.0,218,218,218.0,No
16,137,44,16,10,5.333333333333333,3,2,10,6,3.3333333333333335,84,42,28.0,No
16,383,344,113,80,56.5,2,1,54,53,27.0,242,218,121.0,No
16,32,4,2,2,2.0,1,1,2,2,2.0,22,22,22.0,No
16,152,34,8,7,4.0,2,1,-1,0,-0.5,240,218,120.0,No
