Release Index,File,LOC,LOC Thouched,LOC Added,MAX LOC Added,AVERAGE LOC Added,Num Revisions,Num Authors,Churn,MAX Churn,AVERAGE Churn,ChgSet Size,MAX ChgSetSize,AVERAGE ChgSetSize,Buggy,Num Bugs
1,client/src/main/java/org/apache/ivory/entity/v0/process/Property.java,104,242,0,0,0.0,3,2,-121,0,-40.333333333333336,319,140,106.33333333333333,No,0
1,common/src/main/java/org/apache/ivory/entity/store/ConfigurationStore.java,341,3926,1358,232,32.333333333333336,42,6,753,230,17.928571428571427,1182,140,28.142857142857142,No,0
1,oozie/src/main/java/org/apache/ivory/oozie/coordinator/COORDINATORAPP.java,284,1260,315,315,157.5,2,1,0,315,0.0,118,66,59.0,No,0
1,common/src/main/java/org/apache/airavat/entity/v0/InputsType.java,62,156,76,74,25.333333333333332,3,1,74,74,24.666666666666668,73,34,24.333333333333332,No,0
1,rerun/src/main/java/org/apache/falcon/rerun/queue/InMemoryQueue.java,130,638,160,114,32.0,5,2,1,3,0.2,850,289,170.0,No,0
1,common/src/test/java/org/apache/falcon/cleanup/LogCleanupServiceTest.java,113,620,149,109,37.25,4,2,-12,0,-3.0,848,289,212.0,No,0
1,common/src/main/java/org/apache/ivory/cleanup/ProcessCleanupHandler.java,51,272,129,58,25.8,5,2,122,58,24.4,83,29,16.6,No,0
1,common/src/main/java/org/apache/falcon/expression/ExpressionHelper.java,164,216,57,25,11.4,5,2,6,3,1.2,893,289,178.6,No,0
1,api/src/test/java/org/apache/ivory/aspect/instances/IvoryTopicSubscriberTest.java,92,0,0,0,0.0,1,1,0,0,0.0,16,16,16.0,No,0
1,client/src/main/java/org/apache/ivory/entity/v0/process/Retry.java,128,292,0,0,0.0,3,2,-146,0,-48.666666666666664,319,140,106.33333333333333,No,0
1,rerun/src/test/java/org/apache/falcon/rerun/queue/InMemoryQueueTest.java,74,188,91,66,22.75,4,2,88,66,22.0,268,239,67.0,No,0
1,oozie/src/main/java/org/apache/ivory/oozie/workflow/MOVE.java,78,368,92,92,46.0,2,1,0,92,0.0,118,66,59.0,No,0
1,metrics/src/main/java/org/apache/falcon/util/ResourcesReflectionUtil.java,123,408,102,83,25.5,4,2,0,1,0.0,788,289,197.0,No,0
1,common/src/main/java/org/apache/ivory/util/DeploymentUtil.java,71,176,85,70,21.25,4,1,82,70,20.5,75,35,18.75,No,0
1,webapp/src/main/java/org/apache/ivory/resource/APIResult.java,61,600,34,14,4.25,8,4,-232,13,-29.0,231,57,28.875,No,0
1,client/src/main/java/org/apache/ivory/entity/v0/process/Process.java,376,860,10,6,1.6666666666666667,6,4,-410,5,-68.33333333333333,483,140,80.5,No,0
1,retention/src/main/java/org/apache/ivory/retention/FeedEvictor.java,275,1880,642,279,32.1,20,6,344,279,17.2,418,104,20.9,No,0
1,common/src/main/java/org/apache/ivory/entity/v0/process/ValidityType.java,129,4,1,1,1.0,1,1,0,0,0.0,32,32,32.0,No,0
1,prism/src/main/java/org/apache/falcon/resource/channel/Channel.java,23,62,31,18,10.333333333333334,3,1,31,18,10.333333333333334,568,289,189.33333333333334,No,0
1,common/src/main/java/org/apache/ivory/entity/v0/dataset/adapter/PathsMapAdapter.java,44,228,83,68,27.666666666666668,3,1,52,68,17.333333333333332,118,63,39.333333333333336,No,0
